reward,step_time,total_stopped,total_wait_time
0,5,0,0
0,10,0,0
0,15,0,0
0,20,0,3
-3,25,2,21
-18,30,3,59
-38,35,1,122
-63,40,7,202
-80,45,11,296
-94,50,13,412
-116,55,27,544
-132,60,32,695
-151,65,35,863
-168,70,37,1048
-185,75,38,1237
-189,80,38,1427
-190,85,32,1478
-51,90,23,1371
107,95,16,1398
-27,100,14,1472
-74,105,14,1538
-66,110,19,1628
-90,115,26,1749
-121,120,33,1903
-154,125,38,2087
-184,130,38,2277
-190,135,38,2467
-190,140,38,2657
-190,145,32,2621
36,150,24,2339
282,155,16,2328
11,160,13,2397
-69,165,15,2458
-61,170,21,2549
-91,175,26,2670
-121,180,33,2824
-154,185,38,3005
-181,190,32,2917
88,195,22,2538
379,200,17,2512
26,205,13,2585
-73,210,14,2645
-60,215,14,2452
193,220,13,1996
456,225,12,1922
74,230,14,1989
-67,235,12,2049
-60,240,19,2134
-85,245,27,2255
-121,250,33,2405
-150,255,36,2581
-176,260,32,2437
144,265,23,1824
613,270,17,1911
-87,275,15,1985
-74,280,13,2049
-64,285,20,2139
-90,290,28,2264
-125,295,35,2423
-159,300,38,2608
-185,305,32,2433
175,310,23,1976
457,315,15,1355
621,320,7,1390
-35,325,8,1420
-30,330,13,1472
-52,335,19,1556
-84,340,25,1671
-115,345,34,1823
-152,350,32,1763
60,355,26,1463
300,360,17,1555
-92,365,14,1627
-72,370,15,1698
-71,375,22,1797
-99,380,29,1930
-133,385,35,2094
-164,390,38,2282
-188,395,38,2472
-190,400,32,2397
75,405,22,1926
471,410,15,2012
-86,415,13,2084
-72,420,14,2148
-64,425,14,1970
178,430,13,1585
385,435,12,1426
159,440,10,1482
-56,445,12,1534
-52,450,12,1391
143,455,11,1067
324,460,11,1114
-47,465,11,1163
-49,470,16,1230
-67,475,21,1329
-99,480,24,1269
60,485,20,1033
236,490,16,636
397,495,6,673
-37,500,7,700
-27,505,14,755
-55,510,14,683
72,515,13,499
184,520,11,550
-51,525,10,607
-57,530,11,572
35,535,9,445
127,540,8,478
-33,545,8,519
-41,550,16,586
-67,555,21,681
-95,560,22,689
-8,565,20,598
91,570,17,642
-44,575,12,708
-66,580,13,771
-63,585,15,736
35,590,11,591
145,595,10,553
38,600,10,602
-49,605,13,657
-55,610,12,627
30,615,10,430
197,620,7,468
-38,625,8,507
-39,630,6,471
36,635,7,359
112,640,4,303
56,645,7,327
-24,650,13,380
-53,655,14,364
16,660,10,265
99,665,11,258
7,670,11,317
-59,675,7,303
14,680,5,229
74,685,4,245
-16,690,10,283
-38,695,9,280
3,700,5,227
53,705,6,260
-33,710,10,303
-43,715,15,369
-66,720,22,466
-97,725,28,595
-129,730,34,758
-163,735,32,831
-73,740,24,787
44,745,16,839
-52,750,13,912
-73,755,14,974
-62,760,20,1062
-88,765,27,1184
-122,770,27,1202
-18,775,23,978
224,780,15,1053
-75,785,11,1108
-55,790,7,1032
76,795,3,777
255,800,2,737
40,805,6,757
-20,810,12,808
-51,815,13,757
51,820,11,594
163,825,9,528
66,830,12,579
-51,835,14,637
-58,840,15,584
53,845,11,415
169,850,11,462
-47,855,14,527
-65,860,11,477
50,865,9,360
117,870,8,392
-32,875,11,435
-43,880,16,503
-68,885,16,487
16,890,13,417
70,895,12,415
2,900,13,475
-60,905,14,540
-65,910,20,630
-90,915,20,642
-12,920,19,523
119,925,16,566
-43,930,13,630
-64,935,12,687
-57,940,14,660
27,945,12,520
140,950,9,521
-1,955,8,562
-41,960,12,613
-51,965,20,696
-83,970,26,816
-120,975,28,841
-25,980,22,712
129,985,15,749
-37,990,10,807
-58,995,8,741
66,1000,5,580
161,1005,4,561
19,1010,9,592
-31,1015,14,648
-56,1020,21,737
-89,1025,27,861
-124,1030,32,1014
-153,1035,38,1195
-181,1040,32,1227
-32,1045,23,1083
144,1050,17,1102
-19,1055,11,1166
-64,1060,13,1222
-56,1065,14,1156
66,1070,13,922
234,1075,11,913
9,1080,12,974
-61,1085,7,892
82,1090,3,676
216,1095,4,637
39,1100,9,671
-34,1105,14,731
-60,1110,16,691
40,1115,12,551
140,1120,12,607
-56,1125,14,679
-72,1130,15,750
-71,1135,16,706
44,1140,13,542
164,1145,13,605
-63,1150,13,670
-65,1155,15,736
-66,1160,18,686
50,1165,15,554
132,1170,16,613
-59,1175,13,686
-73,1180,11,652
34,1185,8,525
127,1190,7,555
-30,1195,11,603
-48,1200,13,664
-61,1205,19,753
-89,1210,27,875
-122,1215,33,1033
-158,1220,37,1215
-182,1225,31,1253
-38,1230,23,1128
125,1235,16,1215
-87,1240,14,1288
-73,1245,15,1355
-67,1250,21,1449
-94,1255,29,1580
-131,1260,35,1747
-167,1265,38,1934
-187,1270,32,1926
8,1275,22,1607
319,1280,15,1610
-3,1285,11,1676
-66,1290,8,1547
129,1295,3,1178
369,1300,4,1191
-13,1305,9,1224
-33,1310,9,1115
109,1315,7,851
264,1320,7,879
-28,1325,10,919
-40,1330,17,991
-72,1335,19,921
70,1340,16,626
295,1345,14,683
-57,1350,14,750
-67,1355,14,813
-63,1360,13,713
100,1365,11,511
202,1370,11,517
-6,1375,9,571
-54,1380,13,627
-56,1385,15,570
57,1390,14,436
134,1395,10,348
88,1400,6,345
3,1405,9,380
-35,1410,13,436
-56,1415,13,430
6,1420,9,342
88,1425,10,351
-9,1430,10,403
-52,1435,12,457
-54,1440,19,540
-83,1445,25,655
-115,1450,32,803
-148,1455,32,845
-42,1460,22,770
75,1465,17,823
-53,1470,11,889
-66,1475,7,830
59,1480,6,639
191,1485,6,663
-24,1490,9,700
-37,1495,8,651
49,1500,4,512
139,1505,6,502
10,1510,10,543
-41,1515,7,500
43,1520,6,369
131,1525,6,349
20,1530,9,384
-35,1535,15,445
-61,1540,16,425
20,1545,13,334
91,1550,10,209
125,1555,5,247
-38,1560,6,271
-24,1565,14,325
-54,1570,20,412
-87,1575,19,451
-39,1580,17,421
30,1585,15,485
-64,1590,15,559
-74,1595,16,635
-76,1600,23,736
-101,1605,31,872
-136,1610,37,1042
-170,1615,38,1232
-190,1620,32,1283
-51,1625,24,1188
95,1630,17,968
220,1635,6,999
-31,1640,7,1018
-19,1645,9,949
69,1650,6,765
184,1655,7,790
-25,1660,10,834
-44,1665,11,768
66,1670,8,604
164,1675,8,584
20,1680,9,625
-41,1685,8,554
71,1690,4,366
188,1695,2,129
237,1700,2,134
-5,1705,8,160
-26,1710,6,135
25,1715,4,99
36,1720,2,48
51,1725,2,50
-2,1730,7,77
-27,1735,13,132
-55,1740,14,165
-33,1745,12,158
7,1750,11,181
-23,1755,12,237
-56,1760,9,245
-8,1765,7,215
30,1770,3,212
3,1775,8,241
-29,1780,9,245
-4,1785,6,182
63,1790,7,205
-23,1795,11,245
-40,1800,15,308
-63,1805,15,327
-19,1810,14,289
38,1815,14,226
63,1820,7,251
-25,1825,8,270
-19,1830,8,266
4,1835,6,213
53,1840,4,140
73,1845,2,139
1,1850,6,162
-23,1855,13,212
-50,1860,13,228
-16,1865,13,206
22,1870,11,256
-50,1875,11,303
-47,1880,16,371
-68,1885,16,386
-15,1890,14,346
40,1895,12,278
68,1900,7,250
28,1905,1,216
34,1910,7,235
-19,1915,13,289
-54,1920,20,375
-86,1925,25,489
-114,1930,29,621
-132,1935,31,768
-147,1940,34,929
-161,1945,38,1113
-184,1950,38,1303
-190,1955,32,1356
-53,1960,25,1254
102,1965,17,1219
35,1970,12,1283
-64,1975,12,1339
-56,1980,12,1267
72,1985,11,1061
206,1990,10,1043
18,1995,12,1098
-55,2000,9,1015
83,2005,7,799
216,2010,7,828
-29,2015,10,876
-48,2020,16,946
-70,2025,16,892
54,2030,16,702
190,2035,11,433
269,2040,8,276
157,2045,2,225
51,2050,7,244
-19,2055,7,233
11,2060,3,168
65,2065,4,143
25,2070,6,168
-25,2075,8,161
7,2080,6,117
44,2085,2,109
8,2090,7,135
-26,2095,13,190
-55,2100,14,212
-22,2105,13,201
11,2110,14,248
-47,2115,12,315
-67,2120,8,311
4,2125,4,256
55,2130,3,176
80,2135,3,189
-13,2140,7,207
-18,2145,8,207
0,2150,3,161
46,2155,5,164
-3,2160,8,193
-29,2165,8,194
-1,2170,8,153
41,2175,7,182
-29,2180,10,220
-38,2185,10,219
1,2190,11,168
51,2195,10,138
30,2200,4,150
-12,2205,8,165
-15,2210,12,219
-54,2215,13,244
-25,2220,12,229
15,2225,11,199
30,2230,3,191
8,2235,7,210
-19,2240,13,266
-56,2245,14,286
-20,2250,10,227
59,2255,10,280
-53,2260,12,335
-55,2265,9,324
11,2270,7,259
65,2275,6,265
-6,2280,7,294
-29,2285,14,350
-56,2290,14,357
-7,2295,13,309
48,2300,8,326
-17,2305,13,379
-53,2310,8,368
11,2315,5,289
79,2320,8,318
-29,2325,11,362
-44,2330,10,344
18,2335,7,268
76,2340,5,262
6,2345,8,290
-28,2350,9,277
13,2355,5,206
71,2360,7,230
-24,2365,10,272
-42,2370,10,271
1,2375,8,213
58,2380,5,144
69,2385,4,134
10,2390,6,160
-26,2395,14,213
-53,2400,19,297
-84,2405,26,412
-115,2410,32,561
-149,2415,32,646
-85,2420,24,640
6,2425,17,556
84,2430,8,478
78,2435,4,363
115,2440,1,309
54,2445,6,300
9,2450,12,347
-47,2455,14,349
-2,2460,12,286
63,2465,6,161
125,2470,3,171
-10,2475,7,196
-25,2480,7,168
28,2485,4,130
38,2490,2,125
5,2495,8,153
-28,2500,8,155
-2,2505,5,119
36,2510,5,110
9,2515,8,143
-33,2520,14,201
-58,2525,21,292
-91,2530,20,338
-46,2535,21,334
4,2540,17,419
-85,2545,13,486
-67,2550,14,550
-64,2555,18,566
-16,2560,13,506
60,2565,12,501
5,2570,12,559
-58,2575,6,533
26,2580,4,440
93,2585,2,419
21,2590,7,444
-25,2595,12,496
-52,2600,19,580
-84,2605,25,698
-118,2610,33,849
-151,2615,31,905
-56,2620,22,825
80,2625,14,679
146,2630,7,675
4,2635,7,704
-29,2640,13,755
-51,2645,14,720
35,2650,12,552
168,2655,7,595
-43,2660,8,637
-42,2665,9,590
47,2670,7,459
131,2675,5,282
177,2680,2,281
1,2685,7,303
-22,2690,14,357
-54,2695,14,342
15,2700,12,232
110,2705,10,160
72,2710,6,132
28,2715,3,115
17,2720,0,73
42,2725,6,82
-9,2730,13,132
-50,2735,13,163
-31,2740,9,138
25,2745,7,166
-28,2750,8,201
-35,2755,13,258
-57,2760,20,347
-89,2765,26,466
-119,2770,34,621
-155,2775,32,704
-83,2780,27,656
48,2785,16,746
-90,2790,11,801
-55,2795,14,860
-59,2800,21,951
-91,2805,22,959
-8,2810,18,864
95,2815,16,947
-83,2820,15,1026
-79,2825,16,1101
-75,2830,17,1065
36,2835,14,913
152,2840,13,971
-58,2845,13,1035
-64,2850,14,1097
-62,2855,20,1186
-89,2860,23,1155
31,2865,17,986
169,2870,15,1001
-15,2875,12,1066
-65,2880,8,973
93,2885,5,739
234,2890,3,691
48,2895,9,719
-28,2900,13,777
-58,2905,14,707
70,2910,13,523
184,2915,15,582
-59,2920,13,644
-62,2925,10,592
52,2930,9,432
160,2935,8,464
-32,2940,10,505
-41,2945,9,455
50,2950,7,339
116,2955,5,196
143,2960,3,201
-5,2965,6,224
-23,2970,7,204
20,2975,4,145
59,2980,2,65
80,2985,1,60
5,2990,8,83
-23,2995,9,91
-8,3000,5,74
17,3005,4,55
19,3010,2,49
6,3015,8,71
-22,3020,7,86
-15,3025,4,61
25,3030,3,46
15,3035,2,39
7,3040,1,15
24,3045,6,37
-22,3050,14,89
-52,3055,20,174
-85,3060,26,292
-118,3065,30,433
-141,3070,33,593
-160,3075,37,771
-178,3080,38,961
-190,3085,33,1051
-90,3090,24,1017
34,3095,18,880
137,3100,7,914
-34,3105,7,929
-15,3110,7,873
56,3115,5,721
152,3120,5,698
23,3125,8,728
-30,3130,10,676
52,3135,6,519
157,3140,7,290
229,3145,3,293
-3,3150,7,312
-19,3155,6,256
56,3160,5,79
177,3165,2,78
1,3170,6,92
-14,3175,13,142
-50,3180,13,176
-34,3185,13,147
29,3190,12,145
2,3195,7,177
-32,3200,8,205
-28,3205,10,217
-12,3210,6,175
42,3215,6,145
30,3220,3,144
1,3225,8,166
-22,3230,13,223
-57,3235,20,311
-88,3240,26,431
-120,3245,22,484
-53,3250,15,441
43,3255,10,464
-23,3260,8,509
-45,3265,15,567
-58,3270,20,657
-90,3275,28,779
-122,3280,34,935
-156,3285,32,994
-59,3290,24,911
83,3295,17,737
174,3300,8,778
-41,3305,7,799
-21,3310,12,851
-52,3315,20,935
-84,3320,25,1047
-112,3325,26,1052
-5,3330,21,917
135,3335,16,682
235,3340,6,716
-34,3345,9,745
-29,3350,10,689
56,3355,5,533
156,3360,5,504
29,3365,7,530
-26,3370,14,585
-55,3375,15,543
42,3380,11,362
181,3385,10,415
-53,3390,12,475
-60,3395,10,429
46,3400,7,297
132,3405,4,282
15,3410,7,311
-29,3415,8,281
30,3420,6,201
80,3425,2,118
83,3430,2,116
2,3435,6,136
-20,3440,8,134
2,3445,6,104
30,3450,3,57
47,3455,2,43
14,3460,8,69
-26,3465,8,89
-20,3470,4,69
20,3475,4,47
22,3480,2,46
1,3485,7,68
-22,3490,13,121
-53,3495,14,158
-37,3500,15,172
-14,3505,12,196
-24,3510,12,247
-51,3515,6,252
-5,3520,3,207
45,3525,5,210
-3,3530,8,242
-32,3535,9,247
-5,3540,7,209
38,3545,4,220
-11,3550,11,259
-39,3555,10,256
3,3560,9,204
52,3565,8,239
-35,3570,13,294
-55,3575,9,289
5,3580,6,221
68,3585,7,207
14,3590,8,241
-34,3595,6,221
20,3600,3,166
55,3605,3,165
1,3610,8,196
-31,3615,7,194
2,3620,4,151
43,3625,4,83
68,3630,2,79
4,3635,7,103
-24,3640,8,109
-6,3645,6,85
24,3650,2,55
30,3655,3,51
4,3660,7,76
-25,3665,7,86
-10,3670,4,65
21,3675,6,89
-24,3680,11,129
-40,3685,15,195
-66,3690,22,288
-93,3695,29,419
-131,3700,29,503
-84,3705,23,519
-16,3710,16,460
59,3715,7,494
-34,3720,8,528
-34,3725,8,508
20,3730,5,427
81,3735,6,302
125,3740,1,294
8,3745,7,313
-19,3750,7,293
20,3755,6,183
110,3760,2,165
18,3765,7,191
-26,3770,13,242
-51,3775,13,239
3,3780,12,152
87,3785,9,192
-40,3790,12,249
-57,3795,9,253
-4,3800,5,205
48,3805,5,210
-5,3810,9,245
-35,3815,15,305
-60,3820,21,396
-91,3825,22,441
-45,3830,18,421
20,3835,16,486
-65,3840,13,555
-69,3845,15,619
-64,3850,22,715
-96,3855,29,847
-132,3860,34,1005
-158,3865,32,1068
-63,3870,24,993
75,3875,17,811
182,3880,7,847
-36,3885,8,879
-32,3890,8,821
58,3895,5,666
155,3900,4,431
235,3905,3,443
-12,3910,8,471
-28,3915,14,531
-60,3920,15,503
28,3925,13,371
132,3930,13,251
120,3935,7,244
7,3940,7,253
-9,3945,7,218
35,3950,5,186
32,3955,4,198
-12,3960,8,230
-32,3965,11,230
0,3970,6,188
42,3975,6,124
64,3980,4,127
-3,3985,8,159
-32,3990,9,165
-6,3995,5,122
43,4000,2,67
55,4005,1,72
-5,4010,7,94
-22,4015,13,145
-51,4020,14,176
-31,4025,11,169
7,4030,9,211
-42,4035,9,262
-51,4040,16,329
-67,4045,23,431
-102,4050,30,566
-135,4055,30,646
-80,4060,24,605
41,4065,15,690
-85,4070,12,754
-64,4075,9,724
30,4080,6,584
140,4085,4,457
127,4090,4,336
121,4095,0,282
54,4100,6,280
2,4105,12,330
-50,4110,13,325
5,4115,9,247
78,4120,5,114
133,4125,2,126
-12,4130,7,153
-27,4135,9,149
4,4140,7,127
22,4145,6,127
0,4150,7,143
-16,4155,6,146
-3,4160,5,110
36,4165,4,98
12,4170,8,126
-28,4175,14,184
-58,4180,16,214
-30,4185,14,209
5,4190,12,186
23,4195,6,168
18,4200,0,128
40,4205,6,138
-10,4210,6,142
-4,4215,3,99
43,4220,3,110
-11,4225,8,142
-32,4230,15,203
-61,4235,21,296
-93,4240,21,344
-48,4245,17,329
15,4250,13,392
-63,4255,11,455
-63,4260,8,435
20,4265,5,351
84,4270,8,381
-30,4275,10,424
-43,4280,9,406
18,4285,9,327
79,4290,3,293
34,4295,8,321
-28,4300,6,299
22,4305,4,212
87,4310,6,234
-22,4315,8,270
-36,4320,9,254
16,4325,7,152
102,4330,5,153
-1,4335,9,183
-30,4340,7,180
3,4345,4,133
47,4350,2,130
3,4355,7,156
-26,4360,14,212
-56,4365,15,240
-28,4370,14,223
17,4375,7,224
-1,4380,7,260
-36,4385,8,252
8,4390,4,200
52,4395,2,127
73,4400,3,128
-1,4405,7,157
-29,4410,9,164
-7,4415,6,126
38,4420,7,80
46,4425,1,76
4,4430,7,94
-18,4435,6,99
-5,4440,5,83
16,4445,3,94
-11,4450,10,132
-38,4455,10,147
-15,4460,8,126
21,4465,6,153
-27,4470,8,195
-42,4475,8,201
-6,4480,5,157
44,4485,2,97
60,4490,0,54
43,4495,1,47
7,4500,7,72
-25,4505,13,124
-52,4510,15,160
-36,4515,14,163
-3,4520,8,187
-24,4525,10,227
-40,4530,10,230
-3,4535,8,205
25,4540,3,185
20,4545,6,200
-15,4550,7,197
3,4555,3,149
48,4560,3,150
-1,4565,9,186
-36,4570,9,184
2,4575,6,120
64,4580,2,75
45,4585,2,76
-1,4590,8,106
-30,4595,8,116
-10,4600,7,99
17,4605,6,110
-11,4610,8,137
-27,4615,9,147
-10,4620,5,120
27,4625,4,114
6,4630,9,149
-35,4635,8,159
-10,4640,4,112
47,4645,2,72
40,4650,2,78
-6,4655,8,103
-25,4660,8,116
-13,4665,6,90
26,4670,4,69
21,4675,3,71
-2,4680,8,97
-26,4685,9,112
-15,4690,5,93
19,4695,5,100
-7,4700,8,131
-31,4705,7,137
-6,4710,9,116
21,4715,4,105
11,4720,7,120
-15,4725,12,170
-50,4730,12,187
-17,4735,10,157
30,4740,10,197
-40,4745,13,257
-60,4750,8,259
-2,4755,5,205
54,4760,3,149
56,4765,4,147
2,4770,7,168
-21,4775,6,165
3,4780,4,118
47,4785,2,71
47,4790,1,58
13,4795,7,80
-22,4800,13,134
-54,4805,13,162
-28,4810,10,141
21,4815,8,180
-39,4820,8,218
-38,4825,9,223
-5,4830,8,181
42,4835,6,132
49,4840,5,104
28,4845,1,88
16,4850,5,99
-11,4855,13,147
-48,4860,12,175
-28,4865,12,168
7,4870,7,211
-43,4875,12,251
-40,4880,11,261
-10,4885,8,217
44,4890,6,210
7,4895,9,249
-39,4900,12,296
-47,4905,12,305
-9,4910,11,257
48,4915,11,185
72,4920,3,203
-18,4925,6,214
-11,4930,7,209
5,4935,5,160
49,4940,1,92
68,4945,2,100
-8,4950,8,127
-27,4955,11,139
-12,4960,9,122
17,4965,9,96
26,4970,2,91
5,4975,8,96
-5,4980,14,154
-58,4985,20,245
-91,4990,26,369
-124,4995,26,448
-79,5000,22,455
-7,5005,15,398
57,5010,9,348
50,5015,2,316
32,5020,8,332
-16,5025,8,324
8,5030,8,266
58,5035,6,283
-17,5040,9,310
-27,5045,15,371
-61,5050,22,468
-97,5055,28,597
-129,5060,32,752
-155,5065,37,927
-175,5070,32,986
-59,5075,23,905
81,5080,15,705
200,5085,6,604
101,5090,5,437
167,5095,1,404
33,5100,9,414
-10,5105,13,469
-55,5110,20,556
-87,5115,25,670
-114,5120,28,806
-136,5125,31,958
-152,5130,33,1123
-165,5135,35,1296
-173,5140,38,1481
-185,5145,32,1506
-25,5150,23,1339
167,5155,16,1013
326,5160,9,830
183,5165,3,593
237,5170,1,524
69,5175,7,534
-10,5180,13,583
-49,5185,18,663
-80,5190,22,767
-104,5195,24,884
-117,5200,26,1009
,,2.97456,
